price,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,expenses
930000.0,1053392.1,60979.6,0.0,136.0,0.0,6838.235294,0.0,0.0
800000.0,799999.88,46311.03,7499.0,6433.0,6.175627417,124.35877509999999,0.0,0.0
580000.0,651253.48,37700.28,6119.2,5266.4,9.3932552676,166.15368673999998,0.0,0.0
300000.0,331712.72,19202.45,4739.4,4099.8,12.6108831182,207.94859837999996,0.0,0.0
250000.0,288446.66,16697.83,3359.6000000000004,2933.2000000000003,15.8285109688,249.74351001999997,0.0,0.0
250000.0,288446.66,16697.83,1979.8000000000002,1766.6000000000004,19.0461388194,291.53842166,0.0,0.0
200000.0,230757.26,13358.26,600.0,600.0,22.26376667,333.3333333,0.0,0.0
200000.0,220703.84,12776.28,316.0,2631.0,40.43126582,76.01672368,0.0,0.0
200000.0,200415.29,11601.8,1673.0,1847.3333333333335,6.934728033,264.96353008666665,0.0,0.0
200000.0,200415.29,11601.8,1673.0,1063.6666666666667,6.934728033,453.91033649333326,0.0,0.0
180000.0,198620.81,11497.92,1544.25,280.0,7.560571068,642.8571429,0.0,0.0
176000.0,209387.84,12121.21,1415.5,186.66666666666669,8.186414102999999,508.4761905,0.0,0.0
176000.0,209387.84,12121.21,1286.75,93.33333333333334,8.812257138,374.09523809999996,0.0,0.0
165000.0,188798.53,10929.32,1158.0,0.0,9.438100172999999,239.71428569999995,0.0,0.0
158000.0,159211.81,9216.58,1500.0,1500.0,6.144386667000001,105.33333329999999,0.0,0.0
150000.0,149427.18,8650.16,940.0,900.0,15.815272278500002,166.66666669999998,0.0,0.0
145000.0,167299.04,9684.74,380.0,380.0,25.48615789,381.5789474,0.0,0.0
140000.0,155371.17,8994.25,649.0,250.0,19.683040952333332,560.0,0.0,0.0
137000.0,152433.47,8824.19,918.0,400.0,13.879924014666665,342.5,0.0,0.0
132000.0,165613.56,9587.17,1187.0,1480.0,8.076807077,89.18918919,0.0,0.0
130000.0,149992.23,8682.87,918.5,1065.0,11.0816419985,144.594594595,0.0,0.0
130000.0,158168.94,9156.21,650.0,650.0,14.08647692,200.0,0.0,0.0
130000.0,158168.94,9156.21,0.0,500.0,14.348766022500001,260.0,0.0,0.0
130000.0,145970.56,8450.06,200.0,365.0,14.611055125,412.60869564999996,0.0,0.0
130000.0,144644.91,8373.32,400.0,230.0,14.873344227499999,565.2173912999999,0.0,0.0
130000.0,156876.29,9081.38,600.0,600.0,15.13563333,216.66666669999998,0.0,0.0
120000.0,119541.78,6920.13,640.0,525.0,13.8780407875,262.50000002499996,0.0,0.0
120000.0,119541.78,6920.13,680.0,450.0,12.620448244999999,308.33333335,0.0,0.0
120000.0,119541.78,6920.13,720.0,375.0,11.3628557025,354.166666675,0.0,0.0
120000.0,132668.16,7680.0,760.0,300.0,10.10526316,400.0,0.0,0.0
120000.0,137307.91,7948.59,20000.0,0.0,0.3974295,332.22222220000003,0.0,0.0
119000.0,136425.88,7897.53,450.0,450.0,17.55006667,264.4444444,0.0,0.0
115000.0,134957.03,7812.5,437.5,321.66666666666663,18.1553125025,746.0962962666667,0.0,0.0
115000.0,132685.43,7681.0,425.0,193.33333333333331,18.760558335,1227.7481481333334,0.0,0.0
111111.0,128438.49,7435.15,412.5,65.0,19.365804167500002,1709.4,0.0,0.0
111111.0,137995.96,7988.42,400.0,200.0,19.97105,555.555,0.0,0.0
110000.0,126916.44,7347.04,303.0,303.0,24.24765677,363.03630360000005,0.0,0.0
110000.0,127103.17,7357.85,0.0,640.0,17.684387846666667,171.875,0.0,0.0
110000.0,129661.87,7505.97,0.0,617.0,11.121118923333334,178.28200969999997,0.0,0.0
110000.0,110228.41,6380.99,1400.0,400.0,4.55785,275.0,0.0,0.0
110000.0,122198.94,7073.95,592.0,592.0,11.94923986,185.8108108,0.0,0.0
110000.0,119508.96,6918.23,339.0,267.0,20.40775811,411.9850187,1.0,0.0
110000.0,126107.82,7300.23,214.5,390.8333333333333,47.073767945,359.8224990816667,1.0338983050847457,0.0
100000.0,114643.6,6636.58,90.0,514.6666666666666,73.73977778,307.65997946333334,1.0677966101694916,0.0
100000.0,99618.06,5766.77,320.0,638.5,56.98554125574999,255.497459845,1.1016949152542372,0.0
100000.0,119601.2,6923.57,550.0,762.3333333333333,40.231304731499996,203.33494022666667,1.1355932203389831,0.0
100000.0,115378.63,6679.13,780.0,886.1666666666666,23.47706820725,151.1724206083333,1.1694915254237288,0.0
100000.0,117294.89,6790.06,1010.0,1010.0,6.722831683,99.00990099,1.2033898305084745,0.0
100000.0,122818.93,7109.84,951.0,893.3333333333334,7.265609277333334,116.51165116,1.2372881355932204,0.0
100000.0,114643.6,6636.58,892.0,776.6666666666666,7.8083868716666665,134.01340133,1.271186440677966,0.0
100000.0,120170.4,6956.52,833.0,660.0,8.351164466,151.5151515,1.305084745762712,0.0
100000.0,119142.57,6897.02,833.0,660.0,8.279735894,151.5151515,1.3389830508474576,0.0
100000.0,100207.64,5800.9,880.0,400.0,6.591931818,250.0,1.3728813559322033,0.0
99000.0,119084.7,6893.67,570.0,20.0,14.882215909,4950.0,1.4067796610169492,0.0
96000.0,104076.27,6024.85,260.0,260.0,23.1725,369.2307692,1.4406779661016949,0.0
95000.0,105992.18,6135.76,155.0,20.0,961.5862500000001,4750.0,1.4745762711864407,0.0
95000.0,1641077.5,95000.0,50.0,50.0,1900.0,1900.0,1.5084745762711864,0.0
95000.0,102992.12,5962.09,1746.25,350.0,1425.2417223847501,271.42857139999995,1.542372881355932,0.0
95000.0,102398.22,5927.71,3442.5,240.0,950.4834447695,395.8333333,1.576271186440678,0.0
95000.0,105701.97,6118.96,5138.75,240.0,475.7251671542499,395.8333333,1.6101694915254239,0.0
95000.0,114161.81,6608.69,6835.0,1717.0,0.9668895390000001,55.32906232,1.6440677966101696,0.0
95000.0,1641077.5,95000.0,37.0,37.0,2567.567568,2567.567568,1.6779661016949152,0.0
94000.0,93999.88,5441.54,185.0,170.0,29.41372973,552.9411765,1.711864406779661,0.0
92500.0,102630.22,5941.14,800.0,700.0,7.426425,132.1428571,1.7457627118644068,0.0
90000.0,90690.26,5249.95,266.0,0.0,19.73665414,113.43984960499999,1.7796610169491527,0.0
90000.0,102980.89,5961.44,354.0,950.0,16.84022599,94.73684211,1.8135593220338984,0.0
90000.0,102980.89,5961.44,354.0,950.0,16.84022599,94.73684211,1.847457627118644,0.0
90000.0,90186.88,5220.81,4004.0,585.0,1.303898601,251.913875605,1.8813559322033897,0.0
90000.0,97008.92,5615.73,2652.0,220.0,2.6557916079999995,409.0909091,1.9152542372881356,0.0
90000.0,89999.97,5209.99,1300.0,400.0,4.007684615,225.0,1.9491525423728815,0.0
90000.0,97424.72,5639.8,75.0,75.0,75.19733333,1200.0,1.9830508474576272,0.0
90000.0,101056.51,5850.04,1300.0,550.0,4.500030768999999,163.63636359999998,2.016949152542373,0.0
90000.0,102980.89,5961.44,484.0,399.0,12.31702479,225.56390980000003,2.0508474576271185,0.0
90000.0,102980.89,5961.44,0.0,950.0,12.433712395,94.73684211,2.084745762711864,0.0
90000.0,102980.89,5961.44,475.0,475.0,12.5504,189.4736842,2.11864406779661,0.0
90000.0,89999.97,5209.99,659.0,500.0,9.7923470935,180.0,2.152542372881356,0.0
88000.0,102436.23,5929.91,843.0,843.0,7.034294187,104.3890866,2.1864406779661016,0.0
88000.0,102436.23,5929.91,843.0,843.0,7.034294187,104.3890866,2.2203389830508478,0.0
85000.0,84675.45,4901.76,2004.5,782.5,4.4524124125,111.05880925,2.2542372881355934,0.0
85000.0,102301.31,5922.1,3166.0,722.0,1.8705306380000002,117.72853190000001,2.288135593220339,0.0
85000.0,86546.97,5010.1,472.0,350.0,10.61461864,242.8571429,2.3220338983050848,0.0
85000.0,93973.28,5440.0,734.0,300.0,8.712223237333333,283.3333333,2.3559322033898304,0.0
85000.0,98071.82,5677.26,996.0,525.0,6.809827834666667,198.3333333,2.389830508474576,0.0
85000.0,106644.98,6173.55,1258.0,750.0,4.907432432,113.33333329999999,2.423728813559322,0.0
85000.0,100777.7,5833.9,0.0,990.0,10.078604486,85.85858586,2.4576271186440675,0.0
85000.0,94308.75,5459.42,358.0,450.0,15.24977654,188.88888889999998,2.4915254237288136,0.0
85000.0,97259.75,5630.25,2400.0,2000.0,2.3459375,42.5,2.5254237288135593,0.0
85000.0,97259.75,5630.25,2400.0,2000.0,2.3459375,42.5,2.5593220338983054,0.0
85000.0,92490.43,5354.16,0.0,267.0,6.762644046666666,318.3520599,2.593220338983051,0.0
84000.0,94970.7,5497.74,175.0,120.0,11.179350593333332,700.0,2.6271186440677967,0.0
84000.0,94294.93,5458.62,350.0,350.0,15.59605714,240.0,2.6610169491525424,0.0
80000.0,96471.86,5584.64,70.0,70.0,79.78057143,1142.857143,2.694915254237288,0.0
80000.0,91681.99,5307.36,2900.0,600.0,1.8301241380000002,133.3333333,2.7288135593220337,0.0
80000.0,79694.52,4613.42,2198.25,473.25,15.7705500935,315.05376342499994,2.7627118644067794,0.0
80000.0,79694.52,4613.42,1496.5,346.5,29.710976049,496.7741935499999,2.7966101694915255,0.0
80000.0,100586.64,5822.84,794.75,219.75,43.6514020045,678.494623675,2.830508474576271,0.0
80000.0,92522.91,5356.04,93.0,93.0,57.59182796,860.2150537999999,2.864406779661017,0.0
80000.0,93835.94,5432.05,1100.0,1100.0,4.938227273,72.72727273,2.898305084745763,0.0
80000.0,87269.73,5051.94,200.0,200.0,25.2597,400.0,2.9322033898305087,0.0
80000.0,91714.81,5309.26,124.0,20.0,64.92235,4000.0,2.9661016949152543,0.0
